iter	Passed	Remaining
0	284	284289
1	336	167686
2	389	129414
3	441	109942
4	502	99973
5	560	92865
6	616	87482
7	667	82728
8	728	80263
9	779	77205
10	830	74692
11	880	72468
12	943	71621
13	996	70170
14	1046	68703
15	1094	67325
16	1159	67021
17	1222	66719
18	1276	65904
19	1325	64925
20	1373	64014
21	1425	63378
22	1474	62614
23	1523	61959
24	1570	61257
25	1622	60779
26	1680	60558
27	1731	60109
28	1785	59790
29	1836	59378
30	1883	58888
31	1937	58613
32	1985	58195
33	2037	57888
34	2085	57507
35	2142	57380
36	2201	57304
37	2264	57321
38	2312	56991
39	2365	56777
40	2416	56514
41	2465	56231
42	2514	55971
43	2564	55728
44	2617	55548
45	2669	55369
46	2721	55189
47	2774	55018
48	2820	54748
49	2876	54661
50	2924	54415
51	2971	54178
52	3029	54123
53	3075	53881
54	3131	53800
55	3180	53613
56	3233	53486
57	3285	53359
58	3345	53354
59	3393	53163
60	3442	52987
61	3494	52868
62	3546	52752
63	3602	52680
64	3654	52568
65	3702	52395
66	3753	52266
67	3807	52178
68	3874	52281
69	3928	52196
70	3977	52047
71	4028	51924
72	4077	51777
73	4131	51704
74	4184	51611
75	4234	51487
76	4290	51432
77	4362	51569
78	4413	51454
79	4461	51309
80	4518	51265
81	4569	51160
82	4625	51098
83	4677	51007
84	4726	50883
85	4775	50754
86	4830	50689
87	4888	50660
88	4940	50568
89	4987	50432
90	5034	50290
91	5084	50180
92	5141	50147
93	5191	50036
94	5240	49927
95	5292	49841
96	5354	49843
97	5405	49752
98	5457	49672
99	5506	49558
100	5552	49420
101	5606	49356
102	5657	49267
103	5706	49165
104	5756	49065
105	5806	48972
106	5864	48940
107	5920	48900
108	5970	48802
109	6018	48695
110	6069	48614
111	6131	48610
112	6185	48550
113	6233	48446
114	6283	48352
115	6340	48316
116	6393	48248
117	6446	48184
118	6505	48163
119	6568	48166
120	6623	48112
121	6676	48048
122	6727	47970
123	6790	47972
124	6853	47974
125	6909	47927
126	6976	47958
127	7035	47932
128	7086	47850
129	7139	47780
130	7192	47715
131	7248	47665
132	7316	47692
133	7366	47608
134	7447	47716
135	7526	47815
136	7598	47862
137	7669	47907
138	7742	47957
139	7820	48042
140	7879	48000
141	7939	47970
142	8005	47976
143	8062	47928
144	8117	47862
145	8175	47821
146	8239	47811
147	8294	47746
148	8351	47698
149	8409	47653
150	8478	47668
151	8535	47619
152	8594	47575
153	8652	47531
154	8722	47552
155	8780	47503
156	8833	47433
157	8889	47374
158	8947	47327
159	9026	47389
160	9083	47333
161	9143	47296
162	9208	47286
163	9268	47247
164	9325	47194
165	9378	47119
166	9447	47124
167	9514	47120
168	9586	47136
169	9652	47128
170	9722	47134
171	9774	47055
172	9835	47018
173	9893	46965
174	9946	46888
175	10003	46834
176	10075	46849
177	10144	46848
178	10223	46890
179	10294	46895
180	10389	47011
181	10461	47017
182	10523	46981
183	10581	46927
184	10648	46912
185	10699	46826
186	10750	46737
187	10801	46654
188	10857	46589
189	10927	46584
190	11000	46591
191	11095	46695
192	11169	46705
193	11229	46655
194	11288	46602
195	11359	46595
196	11405	46490
197	11459	46417
198	11505	46310
199	11571	46286
200	11630	46233
201	11676	46126
202	11728	46048
203	11781	45969
204	11840	45919
205	11904	45885
206	11972	45864
207	12024	45785
208	12086	45744
209	12141	45673
210	12198	45613
211	12255	45554
212	12335	45575
213	12381	45477
214	12436	45407
215	12489	45331
216	12541	45253
217	12603	45212
218	12652	45121
219	12712	45072
220	12775	45032
221	12896	45196
222	12981	45232
223	13054	45223
224	13120	45194
225	13196	45193
226	13258	45148
227	13314	45084
228	13377	45039
229	13428	44956
230	13481	44880
231	13536	44811
232	13600	44770
233	13652	44691
234	13706	44620
235	13766	44567
236	13847	44582
237	13929	44597
238	14003	44588
239	14074	44567
240	14138	44526
241	14189	44443
242	14247	44383
243	14320	44369
244	14390	44345
245	14460	44322
246	14539	44324
247	14605	44289
248	14674	44260
249	14731	44194
250	14802	44170
251	14863	44118
252	14917	44044
253	14969	43965
254	15031	43916
255	15089	43854
256	15148	43794
257	15208	43740
258	15273	43698
259	15333	43641
260	15396	43594
261	15479	43603
262	15549	43573
263	15608	43513
264	15674	43474
265	15741	43437
266	15796	43365
267	15848	43288
268	15907	43226
269	15977	43197
270	16034	43132
271	16093	43074
272	16157	43028
273	16233	43012
274	16312	43005
275	16391	42999
276	16463	42970
277	16543	42964
278	16609	42923
279	16678	42888
280	16746	42848
281	16802	42782
282	16860	42717
283	16926	42673
284	16988	42620
285	17045	42554
286	17099	42481
287	17163	42431
288	17219	42362
289	17278	42302
290	17334	42233
291	17400	42189
292	17458	42126
293	17516	42064
294	17575	42001
295	17664	42012
296	17738	41987
297	17810	41957
298	17883	41927
299	17958	41902
300	18014	41833
301	18069	41764
302	18129	41703
303	18184	41633
304	18237	41557
305	18292	41486
306	18371	41469
307	18448	41448
308	18512	41399
309	18578	41351
310	18638	41291
311	18694	41223
312	18749	41153
313	18802	41076
314	18851	40995
315	18917	40947
316	18971	40875
317	19028	40809
318	19092	40758
319	19149	40692
320	19201	40617
321	19273	40581
322	19360	40579
323	19442	40566
324	19501	40502
325	19551	40422
326	19606	40351
327	19661	40282
328	19715	40209
329	19769	40138
330	19830	40079
331	19886	40013
